Title,URL,Audio Path
Dua Lipa - Training Season,https://www.youtube.com/watch?v=3DcoC8p9az8&pp=ygUaRHVhIExpcGEgLSBUcmFpbmluZyBTZWFzb24%3D,downloads/Dua Lipa - Training Season.mp3
V - FRI(END)S,https://www.youtube.com/watch?v=62peQdQv4uo&pp=ygUNViAtIEZSSShFTkQpUw%3D%3D,downloads/V - FRI(END)S.mp3
Norah Jones - Come Away With Me,https://www.youtube.com/watch?v=lbjZPFBD6JU&pp=ygUfTm9yYWggSm9uZXMgLSBDb21lIEF3YXkgV2l0aCBNZQ%3D%3D,downloads/Norah Jones - Come Away With Me.mp3
David Guetta - I Don't Wanna Wait,https://www.youtube.com/watch?v=dSDbwfXX5_I&pp=ygUhRGF2aWQgR3VldHRhIC0gSSBEb24ndCBXYW5uYSBXYWl0,downloads/David Guetta - I Don't Wanna Wait.mp3
Future - Type Shit,https://www.youtube.com/watch?v=I0fgkcTbBoI&pp=ygUSRnV0dXJlIC0gVHlwZSBTaGl0,downloads/Future - Type Shit.mp3
"Arijit Singh - Chaleya (From ""Jawan"")",https://www.youtube.com/watch?v=VAdGW7QDJiU&pp=ygUlQXJpaml0IFNpbmdoIC0gQ2hhbGV5YSAoRnJvbSAiSmF3YW4iKQ%3D%3D,"downloads/Arijit Singh - Chaleya (From ""Jawan"").mp3"
Don Omar - Bandoleros,https://www.youtube.com/watch?v=4ZG3pwWGJrk&pp=ygUVRG9uIE9tYXIgLSBCYW5kb2xlcm9z,downloads/Don Omar - Bandoleros.mp3
Sevdaliza - Alibi,https://www.youtube.com/watch?v=qVqFuokjRMc&pp=ygURU2V2ZGFsaXphIC0gQWxpYmk%3D,downloads/Sevdaliza - Alibi.mp3
Ariana Grande - the boy is mine,https://www.youtube.com/watch?v=ZqCWXdZFc58&pp=ygUfQXJpYW5hIEdyYW5kZSAtIHRoZSBib3kgaXMgbWluZQ%3D%3D,downloads/Ariana Grande - the boy is mine.mp3
Ariana Grande - intro (end of the world),https://www.youtube.com/watch?v=p7jATa6Soag&pp=ygUoQXJpYW5hIEdyYW5kZSAtIGludHJvIChlbmQgb2YgdGhlIHdvcmxkKQ%3D%3D,downloads/Ariana Grande - intro (end of the world).mp3
Trueno - REAL GANGSTA LOVE,https://www.youtube.com/watch?v=gaxbVfsoF6Q&pp=ygUaVHJ1ZW5vIC0gUkVBTCBHQU5HU1RBIExPVkU%3D,downloads/Trueno - REAL GANGSTA LOVE.mp3
Henry Moodie - drunk text,https://www.youtube.com/watch?v=OqEc_169ywY&pp=ygUZSGVucnkgTW9vZGllIC0gZHJ1bmsgdGV4dA%3D%3D,downloads/Henry Moodie - drunk text.mp3
